Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 05 Jan 2024, at 01:42 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 26 Feb 2024, at 09:31 AM, a bus collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 25 Feb 2024, at 07:00 PM, a truck collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 28 Feb 2024, at 09:16 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 11 Jan 2024, at 02:26 AM, a truck collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Jumping red lights or ignoring stop signs",Pedestrian Negligence,Signal Violation,High
"On 15 Feb 2024, at 05:51 PM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Potholes, construction work, or lack of signs",Seatbelt Violation,Road Conditions,Moderate
"On 22 Jan 2024, at 04:06 AM, a truck collided with a car at NH66 near Trivandrum. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,High
"On 12 Jan 2024, at 08:50 PM, a truck collided with a truck at NH66 near Trivandrum. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,High
"On 18 Jan 2024, at 12:24 PM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 02 Feb 2024, at 01:20 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Potholes, construction work, or lack of signs",Signal Violation,Road Conditions,High
"On 03 Jan 2024, at 12:05 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 24 Jan 2024, at 11:16 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 01 Mar 2024, at 03:24 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 18 Feb 2024, at 06:20 PM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,High
"On 20 Feb 2024, at 08:29 AM, a car collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 08 Feb 2024, at 06:12 PM, a car collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 02 Jan 2024, at 07:01 PM, a two-wheeler collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 03 Jan 2024, at 07:02 AM, a car collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Jaywalking or crossing in unsafe zones",Seatbelt Violation,Pedestrian Negligence,Moderate
"On 28 Jan 2024, at 02:45 PM, a truck collided with a car at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 03 Jan 2024, at 08:34 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 13 Feb 2024, at 01:24 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 01 Feb 2024, at 02:39 AM, a bus collided with a bus at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 11 Feb 2024, at 11:11 PM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 19 Feb 2024, at 08:12 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 04 Feb 2024, at 12:06 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 28 Jan 2024, at 06:25 PM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,High
"On 03 Feb 2024, at 04:43 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 31 Jan 2024, at 03:44 AM, a bus collided with a truck at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 10 Feb 2024, at 12:22 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 22 Jan 2024, at 06:58 AM, a car collided with a two-wheeler at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,Moderate
"On 06 Feb 2024, at 08:53 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 29 Jan 2024, at 06:06 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 16 Jan 2024, at 04:25 PM, a car collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Heavy rain, fog, or slippery roads",Weather Issues,Weather Issues,Moderate
"On 04 Feb 2024, at 05:38 AM, a bus collided with a auto-rickshaw at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,Moderate
"On 05 Jan 2024, at 09:52 AM, a car collided with a car at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Over speeding and reckless maneuvering",Rash Driving,Rash Driving,Moderate
"On 10 Feb 2024, at 04:50 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 19 Feb 2024, at 06:05 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 26 Jan 2024, at 01:18 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 17 Jan 2024, at 04:26 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,High
"On 30 Jan 2024, at 11:31 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 02 Feb 2024, at 07:35 PM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,Moderate
"On 15 Jan 2024, at 11:56 AM, a bus collided with a bus at MG Road, Bangalore. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 09 Jan 2024, at 07:47 PM, a truck collided with a car at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 14 Jan 2024, at 05:25 PM, a truck collided with a car at NH66 near Trivandrum. DUI-related accident. Over speeding and reckless maneuvering",Drunk Driving,Rash Driving,Moderate
"On 28 Feb 2024, at 02:36 PM, a car collided with a truck at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 12 Feb 2024, at 06:01 AM, a auto-rickshaw collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
"On 05 Feb 2024, at 09:57 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 13 Jan 2024, at 06:13 PM, a car collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 26 Jan 2024, at 08:53 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 14 Feb 2024, at 11:23 AM, a truck collided with a bus at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 09 Jan 2024, at 06:21 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,High
"On 01 Mar 2024, at 02:26 AM, a car collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,High
"On 30 Jan 2024, at 08:21 PM, a car collided with a auto-rickshaw at MG Road, Bangalore. DUI-related accident. Over speeding and reckless maneuvering",Drunk Driving,Rash Driving,High
"On 15 Jan 2024, at 02:45 AM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 01 Mar 2024, at 12:46 PM, a truck collided with a bus at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. DUI-related accident",Weather Issues,Drunk Driving,High
"On 06 Feb 2024, at 06:34 PM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 30 Jan 2024, at 05:01 PM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 08 Jan 2024, at 11:29 PM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Jan 2024, at 07:50 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 30 Jan 2024, at 11:45 AM, a auto-rickshaw collided with a truck at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 22 Jan 2024, at 10:38 PM, a truck collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 03 Feb 2024, at 10:57 AM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 18 Jan 2024, at 09:59 PM, a truck collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 20 Feb 2024, at 08:41 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 18 Feb 2024, at 12:28 PM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 16 Jan 2024, at 10:17 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,Moderate
"On 30 Jan 2024, at 07:29 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Two-wheeler rider not wearing a helmet",Rash Driving,Helmet Violation,Moderate
"On 03 Jan 2024, at 09:53 PM, a two-wheeler collided with a truck at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 08 Jan 2024, at 01:14 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 03 Jan 2024, at 12:43 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 26 Feb 2024, at 11:32 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,High
"On 19 Feb 2024, at 11:44 PM, a truck collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,Moderate
"On 23 Jan 2024, at 04:12 AM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 01 Jan 2024, at 01:23 AM, a bus collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 13 Jan 2024, at 03:44 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,Moderate
"On 29 Feb 2024, at 10:08 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,Moderate
"On 09 Jan 2024, at 04:15 PM, a bus collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 07 Jan 2024, at 03:04 AM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 26 Feb 2024, at 04:49 PM, a car collided with a truck at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 04 Jan 2024, at 11:43 AM, a truck collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 16 Jan 2024, at 11:06 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 17 Feb 2024, at 11:02 PM, a two-wheeler collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 15 Feb 2024, at 10:21 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 05 Feb 2024, at 12:50 PM, a bus collided with a car at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 02 Jan 2024, at 05:39 AM, a two-wheeler collided with a bus at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 19 Jan 2024, at 07:41 AM, a two-wheeler collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Two-wheeler rider not wearing a helmet",Seatbelt Violation,Helmet Violation,Moderate
"On 24 Jan 2024, at 11:20 AM, a car collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 08 Feb 2024, at 07:32 AM, a truck collided with a car at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 22 Feb 2024, at 01:01 AM, a two-wheeler collided with a car at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 29 Feb 2024, at 02:03 AM, a bus collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,High
